ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	gene_biotype	Meiotic	Orthos
ENSOARG00000008859	C1QTNF7	6	110048183	110176272	protein_coding	no	NA
ENSOARG00000008987	CC2D2A	6	110215972	110338487	protein_coding	no	NA
ENSOARG00000009374	FBXL5	6	110345836	110400158	protein_coding	no	NA
ENSOARG00000009499		6	110452891	110475183	protein_coding	no	NA
ENSOARG00000007954	FGFBP1	6	110587924	110588628	protein_coding	no	NA
ENSOARG00000009564		6	110613735	110614092	protein_coding	no	NA
ENSOARG00000009911	PROM1	6	110630025	110755857	protein_coding	no	NA
ENSOARG00000010182	TAPT1	6	110829463	110879288	protein_coding	no	NA
ENSOARG00000010267	LDB2	6	111166384	111261745	protein_coding	no	LDB2
ENSOARG00000010341		6	111597383	111599282	protein_coding	no	NA
ENSOARG00000010350	QDPR	6	112230810	112246764	protein_coding	no	QDPR
ENSOARG00000010425	CLRN2	6	112252408	112262162	protein_coding	no	CLRN2
ENSOARG00000010586		6	112285626	112326154	protein_coding	no	MAN2B2, AC111885.1
ENSOARG00000010677		6	112366855	112379157	protein_coding	no	MAN2B2, AC111885.1
ENSOARG00000010776		6	112394277	112437576	protein_coding	no	MAN2B2, AC111885.1
ENSOARG00000011020		6	112465537	112521495	protein_coding	no	MAN2B2, AC111885.1
ENSOARG00000011137		6	112499672	112504125	protein_coding	no	NA
ENSOARG00000007973		6	112533887	112534267	protein_coding	no	MRFAP1, AC093323.1, MRFAP1L1
ENSOARG00000011166	BLOC1S4	6	112580021	112580685	protein_coding	no	BLOC1S4
ENSOARG00000011238	KIAA0232	6	112657724	112740466	protein_coding	no	KIAA0232, D5ERTD579E, LOC680039
ENSOARG00000011316	TBC1D14	6	112761679	112869880	protein_coding	no	TBC1D14
ENSOARG00000007999		6	112882385	112884076	protein_coding	no	CCDC96
ENSOARG00000011534		6	112895504	112896593	protein_coding	no	TADA2B
ENSOARG00000011559	GRPEL1	6	112896846	112915079	protein_coding	no	GRPEL1
ENSOARG00000011661	SORCS2	6	113430900	113516223	protein_coding	no	SORCS2
ENSOARG00000011847		6	113502984	114772068	protein_coding	no	NA
ENSOARG00000011903		6	113521261	113577135	protein_coding	no	NA
ENSOARG00000011947	AFAP1	6	113542748	113634410	protein_coding	no	AFAP1
ENSOARG00000012162	ABLIM2	6	113703808	113823694	protein_coding	no	ABLIM2
ENSOARG00000012470	SH3TC1	6	113918372	113957626	protein_coding	no	SH3TC1
ENSOARG00000012784	HTRA3	6	114003867	114018781	protein_coding	no	HTRA3
ENSOARG00000012922	ACOX3	6	114055342	114103630	protein_coding	no	ACOX3
ENSOARG00000013101		6	114122717	114123304	protein_coding	no	MAGEB4, MAGEB1, MAGEE1, MAGEB17, MAGEA3, MAGEA2B, MAGEA12, MAGEA6, MAGEA2, MAGEA9B, MAGEA11, MAGEA9, MAGEA8, MAGEA4, MAGEC3, MAGEC1, MAGEC2
ENSOARG00000013130	TRMT44	6	114127236	114151405	protein_coding	no	TRMT44
ENSOARG00000013193	CPZ	6	114199532	114221428	protein_coding	no	CPZ
ENSOARG00000013314		6	114434319	114616982	protein_coding	no	HMX1
ENSOARG00000013363	LRPAP1	6	114765459	114780713	protein_coding	no	LRPAP1
ENSOARG00000013472		6	114818816	114819689	protein_coding	no	NA
ENSOARG00000013494		6	114821324	114825082	protein_coding	no	HGFAC
ENSOARG00000013502		6	114841576	114844143	protein_coding	no	DOK7
ENSOARG00000013598	RGS12	6	114857124	114934274	protein_coding	no	RGS12
ENSOARG00000013697		6	114966751	114969675	protein_coding	no	NA
ENSOARG00000013707		6	114996158	114999193	protein_coding	no	NA
ENSOARG00000013766		6	114997122	115013557	protein_coding	no	NA
ENSOARG00000013807	MSANTD1	6	115003606	115009243	protein_coding	no	MSANTD1
ENSOARG00000014115	HTT	6	115020417	115124139	protein_coding	no	HTT
ENSOARG00000014418	GRK4	6	115152228	115192096	protein_coding	no	GRK4
ENSOARG00000014516	NOP14	6	115206734	115220471	protein_coding	no	NOP14
ENSOARG00000014708		6	115221272	115224624	protein_coding	no	MFSD10
ENSOARG00000014772	ADD1	6	115228495	115270706	protein_coding	no	ADD1
ENSOARG00000014948	SH3BP2	6	115325107	115341560	protein_coding	no	SH3BP2
ENSOARG00000015067		6	115403049	115405541	protein_coding	no	NA
ENSOARG00000015077	FAM193A	6	115414073	115470357	protein_coding	no	FAM193A
ENSOARG00000015178	RNF4	6	115591516	115608576	protein_coding	no	RNF4
ENSOARG00000015189		6	115630692	115665123	protein_coding	no	CFAP99
ENSOARG00000015218		6	115634598	116296881	protein_coding	no	NA
ENSOARG00000015260		6	115719135	115724677	protein_coding	no	ZFYVE28
ENSOARG00000015289		6	115727325	115732154	protein_coding	no	ZFYVE28
